rank,selector,model,mean_cv_score,std_cv_score,params
95,MutualInfoSelector,AdaBoostClassifier,0.71179,0.00113,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.05, 'model__n_estimators': 147, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 32}"
96,SFSSelector,AdaBoostClassifier,0.71171,0.00114,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.1, 'model__n_estimators': 189, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 22, 'selector__max_depth_dt': 10}"
97,EmbeddedDTSelector,AdaBoostClassifier,0.71152,0.00166,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 1.0, 'model__n_estimators': 73, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 8, 'selector__soglia': 0.02}"
98,EmbeddedDTSelector,KNeighborsClassifier,0.71119,0.00074,"{'model': KNeighborsClassifier(), 'model__leaf_size': 28, 'model__metric': 'manhattan', 'model__n_neighbors': 17, 'model__weights': 'uniform', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 13, 'selector__soglia': 0.005}"
99,AllFeaturesSelector,AdaBoostClassifier,0.71098,0.00076,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 1.0, 'model__n_estimators': 85, 'selector': AllFeaturesSelector()}"
100,MutualInfoSelector,KNeighborsClassifier,0.71079,0.002,"{'model': KNeighborsClassifier(), 'model__leaf_size': 42, 'model__metric': 'euclidean', 'model__n_neighbors': 23, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 24}"
100,MutualInfoSelector,KNeighborsClassifier,0.71079,0.002,"{'model': KNeighborsClassifier(), 'model__leaf_size': 34, 'model__metric': 'euclidean', 'model__n_neighbors': 23, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 24}"
102,SFSSelector,RandomForestClassifier,0.71062,0.00275,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__n_estimators': 278, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 17, 'selector__max_depth_dt': 7}"
103,EmbeddedDTSelector,KNeighborsClassifier,0.71046,0.0032,"{'model': KNeighborsClassifier(), 'model__leaf_size': 27, 'model__metric': 'manhattan', 'model__n_neighbors': 21, 'model__weights': 'uniform', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 19, 'selector__soglia': 0.02}"
104,SFSSelector,RandomForestClassifier,0.71041,0.00327,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__n_estimators': 167, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 23, 'selector__max_depth_dt': 9}"
