rank,selector,model,mean_cv_score,std_cv_score,params
167,MutualInfoSelector,RandomForestClassifier,0.69492,0.00216,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 6, 'model__n_estimators': 286, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 33}"
168,ReliefFSelector,KNeighborsClassifier,0.69473,0.00086,"{'model': KNeighborsClassifier(), 'model__leaf_size': 21, 'model__metric': 'euclidean', 'model__n_neighbors': 16, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 38, 'selector__n_neighbors': 18, 'selector__n_samples': 2000}"
169,MutualInfoSelector,KNeighborsClassifier,0.69468,0.00132,"{'model': KNeighborsClassifier(), 'model__leaf_size': 24, 'model__metric': 'manhattan', 'model__n_neighbors': 11, 'model__weights': 'distance', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 35}"
170,AllFeaturesSelector,RandomForestClassifier,0.69432,0.00204,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__min_samples_leaf': 5, 'model__n_estimators': 321, 'selector': AllFeaturesSelector()}"
171,EmbeddedDTSelector,KNeighborsClassifier,0.69413,0.00197,"{'model': KNeighborsClassifier(), 'model__leaf_size': 37, 'model__metric': 'euclidean', 'model__n_neighbors': 14, 'model__weights': 'uniform', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 17, 'selector__soglia': 'median'}"
172,ReliefFSelector,KNeighborsClassifier,0.69321,0.00751,"{'model': KNeighborsClassifier(), 'model__leaf_size': 40, 'model__metric': 'manhattan', 'model__n_neighbors': 14, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 19, 'selector__n_neighbors': 11, 'selector__n_samples': 1000}"
173,SFSSelector,KNeighborsClassifier,0.69303,0.00302,"{'model': KNeighborsClassifier(), 'model__metric': 'manhattan', 'model__n_neighbors': 13, 'model__weights': 'distance', 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 16, 'selector__max_depth_dt': 8}"
174,EmbeddedDTSelector,RandomForestClassifier,0.69268,0.00246,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__min_samples_leaf': 7, 'model__n_estimators': 212, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 12, 'selector__soglia': 'mean'}"
175,EmbeddedDTSelector,RandomForestClassifier,0.69254,0.00213,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 9, 'model__n_estimators': 386, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 13, 'selector__soglia': 0.005}"
176,ReliefFSelector,KNeighborsClassifier,0.69249,0.00119,"{'model': KNeighborsClassifier(), 'model__leaf_size': 24, 'model__metric': 'euclidean', 'model__n_neighbors': 14, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 36, 'selector__n_neighbors': 15, 'selector__n_samples': 2000}"
177,MutualInfoSelector,KNeighborsClassifier,0.69231,0.00042,"{'model': KNeighborsClassifier(), 'model__leaf_size': 29, 'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'distance', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 19}"
178,ReliefFSelector,AdaBoostClassifier,0.69212,0.00061,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.01, 'model__n_estimators': 98, 'selector': ReliefFSelector(verbose=False), 'selector__k': 28, 'selector__n_neighbors': 19, 'selector__n_samples': 2000}"
179,MutualInfoSelector,KNeighborsClassifier,0.69211,0.00205,"{'model': KNeighborsClassifier(), 'model__leaf_size': 25, 'model__metric': 'euclidean', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 26}"
180,MutualInfoSelector,RandomForestClassifier,0.69208,0.00199,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__min_samples_leaf': 8, 'model__n_estimators': 234, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 17}"
181,EmbeddedDTSelector,KNeighborsClassifier,0.69207,0.00388,"{'model': KNeighborsClassifier(), 'model__leaf_size': 47, 'model__metric': 'euclidean', 'model__n_neighbors': 6, 'model__weights': 'uniform', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 10, 'selector__soglia': 0.01}"
182,EmbeddedDTSelector,KNeighborsClassifier,0.6919,0.00341,"{'model': KNeighborsClassifier(), 'model__leaf_size': 48, 'model__metric': 'manhattan', 'model__n_neighbors': 6, 'model__weights': 'uniform', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 12, 'selector__soglia': 0.02}"
183,AllFeaturesSelector,KNeighborsClassifier,0.69175,0.00083,"{'model': KNeighborsClassifier(), 'model__leaf_size': 43, 'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'selector': AllFeaturesSelector()}"
184,AllFeaturesSelector,KNeighborsClassifier,0.69168,0.00141,"{'model': KNeighborsClassifier(), 'model__leaf_size': 44, 'model__metric': 'euclidean', 'model__n_neighbors': 17, 'model__weights': 'distance', 'selector': AllFeaturesSelector()}"
185,AllFeaturesSelector,AdaBoostClassifier,0.69147,0.00061,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.01, 'model__n_estimators': 78, 'selector': AllFeaturesSelector()}"
186,EmbeddedDTSelector,AdaBoostClassifier,0.69132,0.00096,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.01, 'model__n_estimators': 277, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 18, 'selector__soglia': 'mean'}"
187,EmbeddedDTSelector,AdaBoostClassifier,0.69129,0.00092,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.01, 'model__n_estimators': 253, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 17, 'selector__soglia': 0.02}"
188,ReliefFSelector,KNeighborsClassifier,0.69108,0.00639,"{'model': KNeighborsClassifier(), 'model__leaf_size': 36, 'model__metric': 'euclidean', 'model__n_neighbors': 19, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 16, 'selector__n_neighbors': 16, 'selector__n_samples': 1000}"
189,SFSSelector,KNeighborsClassifier,0.69103,0.00162,"{'model': KNeighborsClassifier(), 'model__metric': 'manhattan', 'model__n_neighbors': 10, 'model__weights': 'distance', 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 17, 'selector__max_depth_dt': 11}"
190,SFSSelector,AdaBoostClassifier,0.69102,0.0012,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.01, 'model__n_estimators': 66, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 20, 'selector__max_depth_dt': 11}"
191,ReliefFSelector,AdaBoostClassifier,0.69098,0.00079,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.01, 'model__n_estimators': 52, 'selector': ReliefFSelector(verbose=False), 'selector__k': 21, 'selector__n_neighbors': 10, 'selector__n_samples': 2000}"
192,SFSSelector,AdaBoostClassifier,0.69092,0.001,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.01, 'model__n_estimators': 293, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 16, 'selector__max_depth_dt': 7}"
193,SFSSelector,AdaBoostClassifier,0.69091,0.0012,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.01, 'model__n_estimators': 75, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 10, 'selector__max_depth_dt': 5}"
194,SFSSelector,AdaBoostClassifier,0.6909,0.00088,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.01, 'model__n_estimators': 180, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 21, 'selector__max_depth_dt': 10}"
195,MutualInfoSelector,RandomForestClassifier,0.69084,0.00197,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__min_samples_leaf': 8, 'model__n_estimators': 236, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 37}"
196,SFSSelector,AdaBoostClassifier,0.69071,0.00039,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.05, 'model__n_estimators': 59, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 23, 'selector__max_depth_dt': 6}"
197,MutualInfoSelector,KNeighborsClassifier,0.69068,0.00129,"{'model': KNeighborsClassifier(), 'model__leaf_size': 25, 'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 27}"
198,AllFeaturesSelector,AdaBoostClassifier,0.69039,0.00076,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.01, 'model__n_estimators': 221, 'selector': AllFeaturesSelector()}"
199,EmbeddedDTSelector,AdaBoostClassifier,0.69028,0.00065,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.01, 'model__n_estimators': 268, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 18, 'selector__soglia': 'median'}"
200,MutualInfoSelector,RandomForestClassifier,0.68963,0.00253,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__min_samples_leaf': 8, 'model__n_estimators': 314, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 39}"
201,SFSSelector,KNeighborsClassifier,0.68909,0.00442,"{'model': KNeighborsClassifier(), 'model__metric': 'euclidean', 'model__n_neighbors': 24, 'model__weights': 'distance', 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 15, 'selector__max_depth_dt': 5}"
202,AllFeaturesSelector,RandomForestClassifier,0.68811,0.00147,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 7, 'model__n_estimators': 291, 'selector': AllFeaturesSelector()}"
203,ReliefFSelector,RandomForestClassifier,0.68617,0.00186,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 8, 'model__n_estimators': 288, 'selector': ReliefFSelector(verbose=False), 'selector__k': 35, 'selector__n_neighbors': 11, 'selector__n_samples': 1000}"
204,AllFeaturesSelector,KNeighborsClassifier,0.68599,0.00118,"{'model': KNeighborsClassifier(), 'model__leaf_size': 43, 'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance', 'selector': AllFeaturesSelector()}"
205,AllFeaturesSelector,RandomForestClassifier,0.68572,0.00146,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 8, 'model__n_estimators': 336, 'selector': AllFeaturesSelector()}"
206,MutualInfoSelector,RandomForestClassifier,0.68538,0.00229,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__min_samples_leaf': 9, 'model__n_estimators': 208, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 32}"
207,ReliefFSelector,RandomForestClassifier,0.68471,0.00247,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__min_samples_leaf': 9, 'model__n_estimators': 113, 'selector': ReliefFSelector(verbose=False), 'selector__k': 32, 'selector__n_neighbors': 14, 'selector__n_samples': 500}"
208,ReliefFSelector,KNeighborsClassifier,0.6845,0.00206,"{'model': KNeighborsClassifier(), 'model__leaf_size': 42, 'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 31, 'selector__n_neighbors': 11, 'selector__n_samples': 500}"
209,EmbeddedDTSelector,KNeighborsClassifier,0.68448,0.00252,"{'model': KNeighborsClassifier(), 'model__leaf_size': 23, 'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'distance', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 10, 'selector__soglia': 'median'}"
210,EmbeddedDTSelector,KNeighborsClassifier,0.68413,0.00046,"{'model': KNeighborsClassifier(), 'model__leaf_size': 41, 'model__metric': 'manhattan', 'model__n_neighbors': 11, 'model__weights': 'distance', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 8, 'selector__soglia': 'mean'}"
211,ReliefFSelector,KNeighborsClassifier,0.68352,0.00098,"{'model': KNeighborsClassifier(), 'model__leaf_size': 46, 'model__metric': 'euclidean', 'model__n_neighbors': 4, 'model__weights': 'uniform', 'selector': ReliefFSelector(verbose=False), 'selector__k': 15, 'selector__n_neighbors': 16, 'selector__n_samples': 2000}"
212,AllFeaturesSelector,RandomForestClassifier,0.68349,0.00207,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__min_samples_leaf': 9, 'model__n_estimators': 175, 'selector': AllFeaturesSelector()}"
213,ReliefFSelector,RandomForestClassifier,0.68334,0.00184,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__min_samples_leaf': 9, 'model__n_estimators': 159, 'selector': ReliefFSelector(verbose=False), 'selector__k': 31, 'selector__n_neighbors': 6, 'selector__n_samples': 500}"
214,SFSSelector,RandomForestClassifier,0.68322,0.01878,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__n_estimators': 110, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 10, 'selector__max_depth_dt': 10}"
215,ReliefFSelector,KNeighborsClassifier,0.68265,0.00177,"{'model': KNeighborsClassifier(), 'model__leaf_size': 46, 'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 19, 'selector__n_neighbors': 8, 'selector__n_samples': 1000}"
216,SFSSelector,KNeighborsClassifier,0.68214,0.00347,"{'model': KNeighborsClassifier(), 'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance', 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 12, 'selector__max_depth_dt': 10}"
217,SFSSelector,KNeighborsClassifier,0.68196,0.01088,"{'model': KNeighborsClassifier(), 'model__metric': 'manhattan', 'model__n_neighbors': 23, 'model__weights': 'distance', 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 11, 'selector__max_depth_dt': 11}"
218,AllFeaturesSelector,RandomForestClassifier,0.6816,0.00192,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__min_samples_leaf': 9, 'model__n_estimators': 150, 'selector': AllFeaturesSelector()}"
219,ReliefFSelector,KNeighborsClassifier,0.6813,0.0007,"{'model': KNeighborsClassifier(), 'model__leaf_size': 40, 'model__metric': 'manhattan', 'model__n_neighbors': 10, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 17, 'selector__n_neighbors': 10, 'selector__n_samples': 500}"
220,SFSSelector,KNeighborsClassifier,0.68063,0.004,"{'model': KNeighborsClassifier(), 'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'distance', 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 19, 'selector__max_depth_dt': 6}"
221,MutualInfoSelector,KNeighborsClassifier,0.67877,0.00056,"{'model': KNeighborsClassifier(), 'model__leaf_size': 41, 'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 37}"
222,SFSSelector,KNeighborsClassifier,0.67778,0.00927,"{'model': KNeighborsClassifier(), 'model__metric': 'euclidean', 'model__n_neighbors': 13, 'model__weights': 'distance', 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 12, 'selector__max_depth_dt': 11}"
223,ReliefFSelector,KNeighborsClassifier,0.67389,0.00172,"{'model': KNeighborsClassifier(), 'model__leaf_size': 39, 'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 39, 'selector__n_neighbors': 7, 'selector__n_samples': 500}"
224,AllFeaturesSelector,KNeighborsClassifier,0.67235,0.00086,"{'model': KNeighborsClassifier(), 'model__leaf_size': 31, 'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'selector': AllFeaturesSelector()}"
225,EmbeddedDTSelector,KNeighborsClassifier,0.67228,0.00127,"{'model': KNeighborsClassifier(), 'model__leaf_size': 42, 'model__metric': 'euclidean', 'model__n_neighbors': 6, 'model__weights': 'distance', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 9, 'selector__soglia': 'median'}"
226,MutualInfoSelector,RandomForestClassifier,0.67135,0.00212,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__n_estimators': 314, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 19}"
227,SFSSelector,RandomForestClassifier,0.67117,0.0027,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__n_estimators': 146, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 16, 'selector__max_depth_dt': 8}"
228,ReliefFSelector,RandomForestClassifier,0.6703,0.00213,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 260, 'selector': ReliefFSelector(verbose=False), 'selector__k': 31, 'selector__n_neighbors': 17, 'selector__n_samples': 2000}"
229,MutualInfoSelector,KNeighborsClassifier,0.67011,0.00132,"{'model': KNeighborsClassifier(), 'model__leaf_size': 20, 'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 16}"
230,SFSSelector,RandomForestClassifier,0.67003,0.00288,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__n_estimators': 181, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 15, 'selector__max_depth_dt': 7}"
231,SFSSelector,RandomForestClassifier,0.66986,0.00241,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__n_estimators': 258, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 22, 'selector__max_depth_dt': 8}"
232,MutualInfoSelector,RandomForestClassifier,0.66905,0.00191,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 6, 'model__n_estimators': 200, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 15}"
233,ReliefFSelector,RandomForestClassifier,0.66902,0.00247,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 6, 'model__n_estimators': 199, 'selector': ReliefFSelector(verbose=False), 'selector__k': 16, 'selector__n_neighbors': 8, 'selector__n_samples': 2000}"
234,SFSSelector,RandomForestClassifier,0.66898,0.00185,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__n_estimators': 286, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 12, 'selector__max_depth_dt': 11}"
235,ReliefFSelector,RandomForestClassifier,0.6689,0.00326,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 3, 'model__n_estimators': 224, 'selector': ReliefFSelector(verbose=False), 'selector__k': 20, 'selector__n_neighbors': 5, 'selector__n_samples': 2000}"
236,ReliefFSelector,RandomForestClassifier,0.66881,0.00194,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 203, 'selector': ReliefFSelector(verbose=False), 'selector__k': 22, 'selector__n_neighbors': 7, 'selector__n_samples': 2000}"
237,EmbeddedDTSelector,RandomForestClassifier,0.66879,0.00239,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 177, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 17, 'selector__soglia': 0.02}"
238,MutualInfoSelector,KNeighborsClassifier,0.66842,0.00055,"{'model': KNeighborsClassifier(), 'model__leaf_size': 42, 'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 32}"
239,ReliefFSelector,RandomForestClassifier,0.66837,0.00313,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 9, 'model__n_estimators': 244, 'selector': ReliefFSelector(verbose=False), 'selector__k': 27, 'selector__n_neighbors': 8, 'selector__n_samples': 500}"
240,EmbeddedDTSelector,RandomForestClassifier,0.66827,0.00073,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 8, 'model__n_estimators': 328, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 16, 'selector__soglia': 'mean'}"
241,ReliefFSelector,KNeighborsClassifier,0.66818,0.00095,"{'model': KNeighborsClassifier(), 'model__leaf_size': 25, 'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 31, 'selector__n_neighbors': 9, 'selector__n_samples': 1000}"
242,AllFeaturesSelector,RandomForestClassifier,0.66784,0.00226,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__n_estimators': 352, 'selector': AllFeaturesSelector()}"
243,EmbeddedDTSelector,RandomForestClassifier,0.66741,0.00189,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 8, 'model__n_estimators': 229, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 11, 'selector__soglia': 'mean'}"
244,AllFeaturesSelector,KNeighborsClassifier,0.66351,0.00157,"{'model': KNeighborsClassifier(), 'model__leaf_size': 25, 'model__metric': 'euclidean', 'model__n_neighbors': 4, 'model__weights': 'uniform', 'selector': AllFeaturesSelector()}"
245,MutualInfoSelector,KNeighborsClassifier,0.66289,0.00128,"{'model': KNeighborsClassifier(), 'model__leaf_size': 46, 'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 20}"
246,MutualInfoSelector,KNeighborsClassifier,0.66242,0.00143,"{'model': KNeighborsClassifier(), 'model__leaf_size': 26, 'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 19}"
247,SFSSelector,RandomForestClassifier,0.66205,0.00763,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__n_estimators': 257, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 10, 'selector__max_depth_dt': 11}"
248,AllFeaturesSelector,KNeighborsClassifier,0.66105,0.0007,"{'model': KNeighborsClassifier(), 'model__leaf_size': 27, 'model__metric': 'manhattan', 'model__n_neighbors': 4, 'model__weights': 'distance', 'selector': AllFeaturesSelector()}"
249,ReliefFSelector,KNeighborsClassifier,0.65779,0.00082,"{'model': KNeighborsClassifier(), 'model__leaf_size': 31, 'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 37, 'selector__n_neighbors': 11, 'selector__n_samples': 1000}"
250,EmbeddedDTSelector,KNeighborsClassifier,0.65108,0.00144,"{'model': KNeighborsClassifier(), 'model__leaf_size': 32, 'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 8, 'selector__soglia': 'median'}"
